question_id,image_required,source,template,file,status
1,True,code_questions_approved,code_block_bw,q_00001_code_bw.png,included_approved_code
2,True,code_questions_approved,code_block_bw,q_00002_code_bw.png,included_approved_code
3,True,code_questions_approved,code_block_bw,q_00003_code_bw.png,included_approved_code
4,True,code_questions_approved,code_block_bw,q_00004_code_bw.png,included_approved_code
5,True,code_questions_approved,code_block_bw,q_00005_code_bw.png,included_approved_code
6,True,code_questions_approved,code_block_bw,q_00006_code_bw.png,included_approved_code
7,True,code_questions_approved,code_block_bw,q_00007_code_bw.png,included_approved_code
8,True,code_questions_approved,code_block_bw,q_00008_code_bw.png,included_approved_code
9,True,code_questions_approved,code_block_bw,q_00009_code_bw.png,included_approved_code
10,True,code_questions_approved,code_block_bw,q_00010_code_bw.png,included_approved_code
11,True,code_questions_approved,code_block_bw,q_00011_code_bw.png,included_approved_code
12,True,code_questions_approved,code_block_bw,q_00012_code_bw.png,included_approved_code
13,True,code_questions_approved,code_block_bw,q_00013_code_bw.png,included_approved_code
14,True,code_questions_approved,code_block_bw,q_00014_code_bw.png,included_approved_code
15,True,code_questions_approved,code_block_bw,q_00015_code_bw.png,included_approved_code
16,True,code_questions_approved,code_block_bw,q_00016_code_bw.png,included_approved_code
17,True,code_questions_approved,code_block_bw,q_00017_code_bw.png,included_approved_code
18,True,code_questions_approved,code_block_bw,q_00018_code_bw.png,included_approved_code
19,True,code_questions_approved,code_block_bw,q_00019_code_bw.png,included_approved_code
20,True,code_questions_approved,code_block_bw,q_00020_code_bw.png,included_approved_code
21,True,code_questions_approved,code_block_bw,q_00021_code_bw.png,included_approved_code
22,True,code_questions_approved,code_block_bw,q_00022_code_bw.png,included_approved_code
23,True,code_questions_approved,code_block_bw,q_00023_code_bw.png,included_approved_code
24,True,code_questions_approved,code_block_bw,q_00024_code_bw.png,included_approved_code
25,True,code_questions_approved,code_block_bw,q_00025_code_bw.png,included_approved_code
26,True,code_questions_approved,code_block_bw,q_00026_code_bw.png,included_approved_code
27,True,code_questions_approved,code_block_bw,q_00027_code_bw.png,included_approved_code
28,True,code_questions_approved,code_block_bw,q_00028_code_bw.png,included_approved_code
29,True,code_questions_approved,code_block_bw,q_00029_code_bw.png,included_approved_code
30,True,code_questions_approved,code_block_bw,q_00030_code_bw.png,included_approved_code
31,True,code_questions_approved,code_block_bw,q_00031_code_bw.png,included_approved_code
32,True,code_questions_approved,code_block_bw,q_00032_code_bw.png,included_approved_code
66,True,linear_algebra,matrix_vector,q_00066_visual_bw.png,included_existing_specific
70,True,linear_algebra,matrix_vector,q_00070_visual_bw.png,included_existing_specific
74,True,linear_algebra,matrix_vector,q_00074_visual_bw.png,included_existing_specific
78,True,linear_algebra,matrix_vector,q_00078_visual_bw.png,included_existing_specific
82,True,linear_algebra,matrix_vector,q_00082_visual_bw.png,included_existing_specific
86,True,linear_algebra,matrix_vector,q_00086_visual_bw.png,included_existing_specific
90,True,linear_algebra,matrix_vector,q_00090_visual_bw.png,included_existing_specific
94,True,linear_algebra,matrix_vector,q_00094_visual_bw.png,included_existing_specific
98,True,statistics_probability,probability_table,q_00098_visual_bw.png,included_existing_specific
118,True,statistics_probability,probability_table,q_00118_visual_bw.png,included_existing_specific
225,True,code_questions_approved,code_block_bw,q_00225_code_bw.png,included_approved_code
226,True,code_questions_approved,code_block_bw,q_00226_code_bw.png,included_approved_code
227,True,code_questions_approved,code_block_bw,q_00227_code_bw.png,included_approved_code
228,True,code_questions_approved,code_block_bw,q_00228_code_bw.png,included_approved_code
229,True,code_questions_approved,code_block_bw,q_00229_code_bw.png,included_approved_code
