id,user_id,course_id,topic_id,subtopic_id,attempts_count,correct_count,incorrect_count,total_earned_score,total_possible_score,accuracy_rate,average_response_time,low_confidence_count,repeated_mistake_count,weakness_score,weakness_level,last_activity_at,created_at,updated_at
1,1,15,169,171,16,10,6,83,145,62.5,69.25,1,5,29.38,strong,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
2,1,15,169,170,9,9,0,89,89,100,74.44,0,0,0,strong,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
3,1,15,175,177,12,5,7,35,113,41.67,73.58,1,6,45.83,needs_practice,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
4,1,15,172,174,9,7,2,65,90,77.78,51.11,0,1,15.56,strong,"""2026-05-23T15:02:29.000Z""","""2026-05-23T15:02:29.000Z""","""2026-05-23T15:02:29.000Z"""
5,1,15,178,180,7,4,3,38,56,57.14,75.86,1,2,32.86,strong,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
6,1,15,172,173,7,2,5,20,57,28.57,57.57,1,4,55.71,needs_practice,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
7,1,15,178,179,5,3,2,17,37,60,51,0,1,28,strong,"""2026-05-24T10:14:45.000Z""","""2026-05-24T10:14:45.000Z""","""2026-05-24T10:14:45.000Z"""
8,1,15,175,176,6,3,3,20,42,50,83.17,0,2,36.67,strong,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
9,1,190,2793,2795,2,1,1,5,15,50,79,0,0,30,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
10,1,190,2797,2798,1,1,0,5,5,100,112,0,0,0,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
11,1,190,2797,2799,2,1,1,5,20,50,45.5,0,0,30,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
12,1,190,2789,2791,2,0,2,0,15,0,55.5,0,1,70,needs_practice,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
13,1,190,2797,2800,1,1,0,10,10,100,94,0,0,0,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
14,1,190,2789,2792,1,0,1,0,10,0,55,0,0,60,needs_practice,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
15,1,190,2789,2790,1,0,1,0,15,0,82,0,0,60,needs_practice,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
16,1,190,2785,2787,1,0,1,0,5,0,59,0,0,60,needs_practice,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
17,1,190,2785,2786,1,1,0,10,10,100,73,0,0,0,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
18,1,190,2785,2788,1,1,0,10,10,100,100,0,0,0,strong,"""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z""","""2026-06-05T20:37:32.000Z"""
19,1,25,292,293,3,2,1,15,25,66.67,45.67,0,0,20,strong,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
20,1,25,298,300,2,0,2,0,25,0,65,0,1,70,needs_practice,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
21,1,25,289,290,1,0,1,0,15,0,51,0,0,60,needs_practice,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
22,1,25,295,297,2,1,1,5,15,50,54.5,0,0,30,strong,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
23,1,25,298,299,2,1,1,10,20,50,101.5,0,0,30,strong,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
24,1,25,289,291,1,1,0,5,5,100,106,0,0,0,strong,"""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z""","""2026-05-07T09:09:37.000Z"""
25,1,206,3041,3043,1,1,0,1,1,100,71,0,0,0,strong,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
26,1,206,3049,3050,1,1,0,1,1,100,24,0,0,0,strong,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
27,1,206,3045,3046,1,0,1,0,1,0,89,1,0,70,needs_practice,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
28,1,206,3053,3056,1,0,1,0,2,0,20,1,0,70,needs_practice,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
29,1,206,3041,3042,1,1,0,2,2,100,46,0,0,0,strong,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
30,1,206,3045,3047,1,1,0,3,3,100,83,0,0,0,strong,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
31,1,206,3053,3054,1,0,1,0,3,0,55,1,0,70,needs_practice,"""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T12:02:34.000Z"""
32,1,99,1341,1342,2,1,1,1,4,50,55.5,0,0,30,strong,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
33,1,99,1337,1338,1,0,1,0,3,0,67,0,0,60,needs_practice,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
34,1,99,1333,1334,1,1,0,2,2,100,13,0,0,0,strong,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
35,1,99,1329,1330,1,0,1,0,1,0,37,1,0,70,needs_practice,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
36,1,99,1341,1343,1,0,1,0,2,0,78,1,0,70,needs_practice,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
37,1,99,1337,1339,1,0,1,0,3,0,66,0,0,60,needs_practice,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:39:56.000Z"""
38,1,84,1093,1096,1,0,1,0,2,0,38,1,0,70,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
39,1,84,1089,1091,1,0,1,0,3,0,47,0,0,60,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
40,1,84,1101,1103,1,0,1,0,2,0,53,0,0,60,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
41,1,84,1093,1094,1,1,0,2,2,100,66,0,0,0,strong,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
42,1,84,1097,1098,1,0,1,0,1,0,65,1,0,70,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
43,1,84,1097,1099,1,0,1,0,2,0,33,0,0,60,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
44,1,84,1089,1090,1,0,1,0,3,0,43,0,0,60,needs_practice,"""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:11:16.000Z"""
45,4,177,2581,2582,7,5,2,36,49,71.43,72,0,1,20,strong,"""2026-05-29T12:02:34.000Z""","""2026-05-29T12:02:34.000Z""","""2026-05-29T12:02:34.000Z"""
46,4,177,2585,2588,5,4,1,38,48,80,82.2,0,0,12,strong,"""2026-05-26T10:40:24.000Z""","""2026-05-26T10:40:24.000Z""","""2026-05-26T10:40:24.000Z"""
47,4,177,2585,2586,6,6,0,48,48,100,65,0,0,0,strong,"""2026-05-29T12:02:34.000Z""","""2026-05-29T12:02:34.000Z""","""2026-05-29T12:02:34.000Z"""
