id,user_id,type,title,message,related_entity_type,related_entity_id,status,created_at,read_at,action_url
1,1,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
2,1,milestone,Milestone achieved,"You reached the ""five practice sessions"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
3,1,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
4,1,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
5,4,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
6,4,milestone,Milestone achieved,"You reached the ""five practice sessions"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
7,4,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
8,4,milestone,Milestone achieved,"You reached the ""first exam above 80"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
9,4,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
10,4,streak_update,Milestone achieved,"You reached the ""seven day streak"" milestone.",milestone,,unread,"""2026-05-31T18:00:00.000Z""",,/engagement
11,5,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-20T18:00:00.000Z""",,/engagement
12,5,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-06-20T18:00:00.000Z""",,/engagement
13,5,milestone,Milestone achieved,"You reached the ""first exam above 80"" milestone.",milestone,,unread,"""2026-06-20T18:00:00.000Z""",,/engagement
14,5,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-06-20T18:00:00.000Z""",,/engagement
15,5,streak_update,Milestone achieved,"You reached the ""seven day streak"" milestone.",milestone,,unread,"""2026-06-20T18:00:00.000Z""",,/engagement
16,6,weak_area_alert,Weak area detected,Your accuracy in Software Safety Failure Modes is 0%. Consider focused practice.,topic,893,unread,"""2026-06-07T13:08:21.000Z""",,/weak-areas
17,6,weak_area_alert,Weak area detected,Your accuracy in Software Safety Edge Cases is 0%. Consider focused practice.,topic,893,unread,"""2026-05-23T16:39:27.000Z""",,/weak-areas
18,6,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-07T18:00:00.000Z""",,/engagement
19,6,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-06-07T18:00:00.000Z""",,/engagement
20,6,milestone,Milestone achieved,"You reached the ""first exam above 80"" milestone.",milestone,,unread,"""2026-06-07T18:00:00.000Z""",,/engagement
21,6,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-06-07T18:00:00.000Z""",,/engagement
22,10,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-05-21T18:00:00.000Z""",,/engagement
23,10,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-05-21T18:00:00.000Z""",,/engagement
24,10,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-05-21T18:00:00.000Z""",,/engagement
25,10,streak_update,Milestone achieved,"You reached the ""seven day streak"" milestone.",milestone,,unread,"""2026-05-21T18:00:00.000Z""",,/engagement
26,12,weak_area_alert,Weak area detected,Your accuracy in Second-Order Response is 0%. Consider focused practice.,topic,1845,unread,"""2026-05-16T13:07:47.000Z""",,/weak-areas
27,12,weak_area_alert,Weak area detected,Your accuracy in Confusion Matrices is 0%. Consider focused practice.,topic,88,unread,"""2026-05-03T12:11:15.000Z""",,/weak-areas
28,12,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
29,12,milestone,Milestone achieved,"You reached the ""five practice sessions"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
30,12,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
31,12,milestone,Milestone achieved,"You reached the ""first exam above 80"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
32,12,streak_update,Milestone achieved,"You reached the ""three day streak"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
33,14,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
34,14,milestone,Milestone achieved,"You reached the ""five practice sessions"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
35,14,milestone,Milestone achieved,"You reached the ""first mock exam completed"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
36,14,milestone,Milestone achieved,"You reached the ""first exam above 80"" milestone.",milestone,,unread,"""2026-06-11T18:00:00.000Z""",,/engagement
37,16,weak_area_alert,Weak area detected,Your accuracy in Coulomb Force is 0%. Consider focused practice.,topic,1745,unread,"""2026-05-27T17:44:23.000Z""",,/weak-areas
38,16,weak_area_alert,Weak area detected,Your accuracy in Classification Trees is 0%. Consider focused practice.,topic,3273,unread,"""2026-05-25T13:06:16.000Z""",,/weak-areas
39,16,milestone,Milestone achieved,"You reached the ""first practice completed"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
40,16,milestone,Milestone achieved,"You reached the ""five practice sessions"" milestone.",milestone,,unread,"""2026-06-02T18:00:00.000Z""",,/engagement
