id,question_id,answer_text,is_correct,display_order
1,1,A key concept used to understand programming basics,True,0
2,1,An unrelated administrative detail,False,1
3,1,A random value with no course meaning,False,2
4,1,A visual style choice only,False,3
5,2,It supports correct analysis and problem solving,True,0
6,2,It replaces the need to understand the course,False,1
7,2,It is used only for changing the user interface,False,2
8,2,It has no connection to the course topic,False,3
9,3,A key concept used to understand programming basics,True,0
10,3,An unrelated administrative detail,False,1
11,3,A random value with no course meaning,False,2
12,3,A visual style choice only,False,3
13,4,It supports correct analysis and problem solving,True,0
14,4,It replaces the need to understand the course,False,1
15,4,It is used only for changing the user interface,False,2
16,4,It has no connection to the course topic,False,3
17,5,A key concept used to understand functions,True,0
18,5,An unrelated administrative detail,False,1
19,5,A random value with no course meaning,False,2
20,5,A visual style choice only,False,3
21,6,It supports correct analysis and problem solving,True,0
22,6,It replaces the need to understand the course,False,1
23,6,It is used only for changing the user interface,False,2
24,6,It has no connection to the course topic,False,3
25,7,A key concept used to understand functions,True,0
26,7,An unrelated administrative detail,False,1
27,7,A random value with no course meaning,False,2
28,7,A visual style choice only,False,3
29,8,It supports correct analysis and problem solving,True,0
30,8,It replaces the need to understand the course,False,1
31,8,It is used only for changing the user interface,False,2
32,8,It has no connection to the course topic,False,3
33,9,A key concept used to understand data modeling,True,0
34,9,An unrelated administrative detail,False,1
35,9,A random value with no course meaning,False,2
36,9,A visual style choice only,False,3
37,10,It supports correct analysis and problem solving,True,0
38,10,It replaces the need to understand the course,False,1
39,10,It is used only for changing the user interface,False,2
40,10,It has no connection to the course topic,False,3
41,11,A key concept used to understand data modeling,True,0
42,11,An unrelated administrative detail,False,1
43,11,A random value with no course meaning,False,2
44,11,A visual style choice only,False,3
45,12,It supports correct analysis and problem solving,True,0
46,12,It replaces the need to understand the course,False,1
47,12,It is used only for changing the user interface,False,2
48,12,It has no connection to the course topic,False,3
49,13,A key concept used to understand problem solving,True,0
50,13,An unrelated administrative detail,False,1
51,13,A random value with no course meaning,False,2
52,13,A visual style choice only,False,3
53,14,It supports correct analysis and problem solving,True,0
54,14,It replaces the need to understand the course,False,1
55,14,It is used only for changing the user interface,False,2
56,14,It has no connection to the course topic,False,3
57,15,A key concept used to understand problem solving,True,0
58,15,An unrelated administrative detail,False,1
59,15,A random value with no course meaning,False,2
60,15,A visual style choice only,False,3
61,16,It supports correct analysis and problem solving,True,0
62,16,It replaces the need to understand the course,False,1
63,16,It is used only for changing the user interface,False,2
64,16,It has no connection to the course topic,False,3
65,17,A key concept used to understand programming basics,True,0
66,17,An unrelated administrative detail,False,1
67,17,A random value with no course meaning,False,2
68,17,A visual style choice only,False,3
69,18,It supports correct analysis and problem solving,True,0
70,18,It replaces the need to understand the course,False,1
71,18,It is used only for changing the user interface,False,2
72,18,It has no connection to the course topic,False,3
73,19,A key concept used to understand programming basics,True,0
74,19,An unrelated administrative detail,False,1
75,19,A random value with no course meaning,False,2
76,19,A visual style choice only,False,3
77,20,It supports correct analysis and problem solving,True,0
78,20,It replaces the need to understand the course,False,1
79,20,It is used only for changing the user interface,False,2
80,20,It has no connection to the course topic,False,3
81,21,A key concept used to understand functions,True,0
82,21,An unrelated administrative detail,False,1
83,21,A random value with no course meaning,False,2
84,21,A visual style choice only,False,3
85,22,It supports correct analysis and problem solving,True,0
86,22,It replaces the need to understand the course,False,1
87,22,It is used only for changing the user interface,False,2
88,22,It has no connection to the course topic,False,3
89,23,A key concept used to understand functions,True,0
90,23,An unrelated administrative detail,False,1
91,23,A random value with no course meaning,False,2
92,23,A visual style choice only,False,3
93,24,It supports correct analysis and problem solving,True,0
94,24,It replaces the need to understand the course,False,1
95,24,It is used only for changing the user interface,False,2
96,24,It has no connection to the course topic,False,3
97,25,A key concept used to understand data modeling,True,0
98,25,An unrelated administrative detail,False,1
99,25,A random value with no course meaning,False,2
100,25,A visual style choice only,False,3
101,26,It supports correct analysis and problem solving,True,0
102,26,It replaces the need to understand the course,False,1
103,26,It is used only for changing the user interface,False,2
104,26,It has no connection to the course topic,False,3
105,27,A key concept used to understand data modeling,True,0
106,27,An unrelated administrative detail,False,1
107,27,A random value with no course meaning,False,2
108,27,A visual style choice only,False,3
109,28,It supports correct analysis and problem solving,True,0
110,28,It replaces the need to understand the course,False,1
111,28,It is used only for changing the user interface,False,2
112,28,It has no connection to the course topic,False,3
113,29,A key concept used to understand problem solving,True,0
114,29,An unrelated administrative detail,False,1
115,29,A random value with no course meaning,False,2
116,29,A visual style choice only,False,3
117,30,It supports correct analysis and problem solving,True,0
118,30,It replaces the need to understand the course,False,1
119,30,It is used only for changing the user interface,False,2
120,30,It has no connection to the course topic,False,3
121,31,A key concept used to understand problem solving,True,0
122,31,An unrelated administrative detail,False,1
123,31,A random value with no course meaning,False,2
124,31,A visual style choice only,False,3
125,32,It supports correct analysis and problem solving,True,0
126,32,It replaces the need to understand the course,False,1
127,32,It is used only for changing the user interface,False,2
128,32,It has no connection to the course topic,False,3
129,33,A key concept used to understand linear structures,True,0
130,33,An unrelated administrative detail,False,1
131,33,A random value with no course meaning,False,2
132,33,A visual style choice only,False,3
133,34,It supports correct analysis and problem solving,True,0
134,34,It replaces the need to understand the course,False,1
135,34,It is used only for changing the user interface,False,2
136,34,It has no connection to the course topic,False,3
137,35,A key concept used to understand linear structures,True,0
138,35,An unrelated administrative detail,False,1
139,35,A random value with no course meaning,False,2
140,35,A visual style choice only,False,3
141,36,It supports correct analysis and problem solving,True,0
142,36,It replaces the need to understand the course,False,1
143,36,It is used only for changing the user interface,False,2
144,36,It has no connection to the course topic,False,3
145,37,A key concept used to understand trees,True,0
146,37,An unrelated administrative detail,False,1
147,37,A random value with no course meaning,False,2
148,37,A visual style choice only,False,3
149,38,It supports correct analysis and problem solving,True,0
150,38,It replaces the need to understand the course,False,1
151,38,It is used only for changing the user interface,False,2
152,38,It has no connection to the course topic,False,3
153,39,A key concept used to understand trees,True,0
154,39,An unrelated administrative detail,False,1
155,39,A random value with no course meaning,False,2
156,39,A visual style choice only,False,3
157,40,It supports correct analysis and problem solving,True,0
158,40,It replaces the need to understand the course,False,1
159,40,It is used only for changing the user interface,False,2
160,40,It has no connection to the course topic,False,3
161,41,A key concept used to understand hashing,True,0
162,41,An unrelated administrative detail,False,1
163,41,A random value with no course meaning,False,2
164,41,A visual style choice only,False,3
165,42,It supports correct analysis and problem solving,True,0
166,42,It replaces the need to understand the course,False,1
167,42,It is used only for changing the user interface,False,2
168,42,It has no connection to the course topic,False,3
169,43,A key concept used to understand hashing,True,0
170,43,An unrelated administrative detail,False,1
171,43,A random value with no course meaning,False,2
172,43,A visual style choice only,False,3
173,44,It supports correct analysis and problem solving,True,0
174,44,It replaces the need to understand the course,False,1
175,44,It is used only for changing the user interface,False,2
176,44,It has no connection to the course topic,False,3
177,45,A key concept used to understand graphs,True,0
178,45,An unrelated administrative detail,False,1
179,45,A random value with no course meaning,False,2
180,45,A visual style choice only,False,3
181,46,It supports correct analysis and problem solving,True,0
182,46,It replaces the need to understand the course,False,1
183,46,It is used only for changing the user interface,False,2
184,46,It has no connection to the course topic,False,3
185,47,A key concept used to understand graphs,True,0
186,47,An unrelated administrative detail,False,1
187,47,A random value with no course meaning,False,2
188,47,A visual style choice only,False,3
189,48,It supports correct analysis and problem solving,True,0
190,48,It replaces the need to understand the course,False,1
191,48,It is used only for changing the user interface,False,2
192,48,It has no connection to the course topic,False,3
193,49,A key concept used to understand relational model,True,0
194,49,An unrelated administrative detail,False,1
195,49,A random value with no course meaning,False,2
196,49,A visual style choice only,False,3
197,50,It supports correct analysis and problem solving,True,0
198,50,It replaces the need to understand the course,False,1
199,50,It is used only for changing the user interface,False,2
200,50,It has no connection to the course topic,False,3
201,51,A key concept used to understand relational model,True,0
202,51,An unrelated administrative detail,False,1
203,51,A random value with no course meaning,False,2
204,51,A visual style choice only,False,3
205,52,It supports correct analysis and problem solving,True,0
206,52,It replaces the need to understand the course,False,1
207,52,It is used only for changing the user interface,False,2
208,52,It has no connection to the course topic,False,3
209,53,A key concept used to understand sql queries,True,0
210,53,An unrelated administrative detail,False,1
211,53,A random value with no course meaning,False,2
212,53,A visual style choice only,False,3
213,54,It supports correct analysis and problem solving,True,0
214,54,It replaces the need to understand the course,False,1
215,54,It is used only for changing the user interface,False,2
216,54,It has no connection to the course topic,False,3
217,55,A key concept used to understand sql queries,True,0
218,55,An unrelated administrative detail,False,1
219,55,A random value with no course meaning,False,2
220,55,A visual style choice only,False,3
221,56,It supports correct analysis and problem solving,True,0
222,56,It replaces the need to understand the course,False,1
223,56,It is used only for changing the user interface,False,2
224,56,It has no connection to the course topic,False,3
225,57,A key concept used to understand database design,True,0
226,57,An unrelated administrative detail,False,1
227,57,A random value with no course meaning,False,2
228,57,A visual style choice only,False,3
229,58,It supports correct analysis and problem solving,True,0
230,58,It replaces the need to understand the course,False,1
231,58,It is used only for changing the user interface,False,2
232,58,It has no connection to the course topic,False,3
233,59,A key concept used to understand database design,True,0
234,59,An unrelated administrative detail,False,1
235,59,A random value with no course meaning,False,2
236,59,A visual style choice only,False,3
237,60,It supports correct analysis and problem solving,True,0
238,60,It replaces the need to understand the course,False,1
239,60,It is used only for changing the user interface,False,2
240,60,It has no connection to the course topic,False,3
241,61,A key concept used to understand transactions,True,0
242,61,An unrelated administrative detail,False,1
243,61,A random value with no course meaning,False,2
244,61,A visual style choice only,False,3
245,62,It supports correct analysis and problem solving,True,0
246,62,It replaces the need to understand the course,False,1
247,62,It is used only for changing the user interface,False,2
248,62,It has no connection to the course topic,False,3
249,63,A key concept used to understand transactions,True,0
250,63,An unrelated administrative detail,False,1
251,63,A random value with no course meaning,False,2
252,63,A visual style choice only,False,3
253,64,It supports correct analysis and problem solving,True,0
254,64,It replaces the need to understand the course,False,1
255,64,It is used only for changing the user interface,False,2
256,64,It has no connection to the course topic,False,3
257,65,A key concept used to understand network layer,True,0
258,65,An unrelated administrative detail,False,1
259,65,A random value with no course meaning,False,2
260,65,A visual style choice only,False,3
261,66,It supports correct analysis and problem solving,True,0
262,66,It replaces the need to understand the course,False,1
263,66,It is used only for changing the user interface,False,2
264,66,It has no connection to the course topic,False,3
265,67,A key concept used to understand network layer,True,0
266,67,An unrelated administrative detail,False,1
267,67,A random value with no course meaning,False,2
268,67,A visual style choice only,False,3
269,68,It supports correct analysis and problem solving,True,0
270,68,It replaces the need to understand the course,False,1
271,68,It is used only for changing the user interface,False,2
272,68,It has no connection to the course topic,False,3
273,69,A key concept used to understand transport and services,True,0
274,69,An unrelated administrative detail,False,1
275,69,A random value with no course meaning,False,2
276,69,A visual style choice only,False,3
277,70,It supports correct analysis and problem solving,True,0
278,70,It replaces the need to understand the course,False,1
279,70,It is used only for changing the user interface,False,2
