id,user_id,course_id,enrollment_status
1,1,1,active
2,1,2,active
3,1,3,active
4,1,4,active
5,1,5,active
6,1,6,active
7,1,7,active
8,1,8,active
9,1,14,active
10,1,15,active
11,1,54,active
12,1,56,active
13,1,60,active
14,1,64,active
15,4,1,active
16,4,2,active
17,4,3,active
18,4,4,active
19,4,5,active
20,4,6,active
21,4,7,active
22,4,8,active
23,4,14,active
24,4,15,active
25,4,54,active
26,4,56,active
27,4,60,active
28,4,64,active
29,5,1,active
30,5,2,active
31,5,3,active
32,5,4,active
33,5,5,active
34,5,6,active
35,5,7,active
36,5,8,active
37,5,14,active
38,5,15,active
39,5,54,active
40,5,56,active
41,5,60,active
42,5,64,active
43,6,1,active
44,6,2,active
45,6,3,active
46,6,4,active
47,6,5,active
48,6,6,active
49,6,7,active
50,6,8,active
51,6,14,active
52,6,15,active
53,6,54,active
54,6,56,active
55,6,60,active
56,6,64,active
57,10,1,active
58,10,2,active
59,10,3,active
60,10,4,active
61,10,5,active
62,10,6,active
63,10,7,active
64,10,8,active
65,10,14,active
66,10,15,active
67,10,54,active
68,10,56,active
69,10,60,active
70,10,64,active
71,12,14,active
72,12,15,active
73,12,16,active
74,12,17,active
75,12,18,active
76,12,19,active
77,12,20,active
78,12,21,active
79,12,54,active
80,12,55,active
81,12,56,active
82,12,57,active
83,12,58,active
84,12,59,active
85,12,60,active
86,12,61,active
87,12,62,active
88,12,63,active
89,12,64,active
90,14,14,active
91,14,15,active
92,14,22,active
93,14,23,active
94,14,24,active
95,14,25,active
96,14,26,active
97,14,27,active
98,14,28,active
99,14,29,active
100,14,54,active
101,14,55,active
102,14,56,active
103,14,57,active
104,14,58,active
105,14,59,active
106,14,60,active
107,14,61,active
108,14,62,active
109,14,63,active
110,16,14,active
111,16,15,active
112,16,30,active
113,16,31,active
114,16,32,active
115,16,33,active
116,16,34,active
117,16,35,active
118,16,36,active
119,16,37,active
120,16,54,active
121,16,55,active
122,16,56,active
123,16,57,active
124,16,58,active
125,16,59,active
126,16,61,active
127,16,62,active
128,18,14,active
129,18,15,active
130,18,38,active
131,18,39,active
132,18,40,active
133,18,41,active
134,18,42,active
135,18,43,active
136,18,44,active
137,18,45,active
138,18,54,active
139,18,56,active
140,18,58,active
141,18,60,active
142,18,63,active
143,20,14,active
144,20,15,active
145,20,46,active
146,20,47,active
147,20,48,active
148,20,49,active
149,20,50,active
150,20,51,active
151,20,52,active
152,20,53,active
153,20,54,active
154,20,55,active
155,20,56,active
156,20,58,active
157,20,60,active
158,21,1,active
159,21,3,active
160,21,6,active
161,21,9,active
162,21,10,active
163,21,11,active
164,21,12,active
165,21,13,active
166,21,14,active
167,21,15,active
168,21,54,active
169,21,60,active
